,city,created_at_format,total_debt_total
0,Москва,2020-07-22,2390.85
1,Москва,2020-07-23,2380.95
2,Москва,2020-07-24,4756.95
3,Москва,2020-07-25,4755.3
4,Москва,2020-07-26,4756.95
5,Москва,2020-07-27,4747.05
6,Москва,2020-07-31,5910.9
7,Москва,2020-08-01,1473.9
8,Москва,2020-08-02,1470.84
9,Москва,2020-08-03,2776.44
10,Москва,2020-08-04,1469.82
11,Москва,2020-08-05,2579.58
12,Санкт-Петербург,2020-09-08,2363.24
13,Москва,2020-09-09,1229.0
14,Москва,2020-09-17,2863.0
15,Москва,2020-09-18,1443.0
16,Москва,2020-09-19,2885.0
17,Москва,2020-09-20,1443.0
18,Москва,2020-09-21,2899.0
19,Москва,2020-09-22,2852.0
20,Москва,2020-09-23,2763.0
21,Санкт-Петербург,2020-09-23,1333.2
22,Москва,2020-09-24,1445.0
23,Москва,2020-09-25,1340.0
24,Москва,2020-09-27,1440.0
25,Москва,2020-09-29,1440.0
26,Москва,2020-10-01,1440.0
27,Москва,2020-10-02,1440.0
28,Санкт-Петербург,2020-10-04,1454.4
29,Санкт-Петербург,2020-10-05,1454.4
30,Москва,2020-10-07,1437.0
31,Москва,2020-10-08,994.0
32,Москва,2020-10-10,1440.0
33,Москва,2020-10-11,1440.0
34,Москва,2020-10-12,2929.0
35,Санкт-Петербург,2020-10-17,1454.4
36,Санкт-Петербург,2020-10-18,1454.4
37,Санкт-Петербург,2020-10-22,1379.66
38,Москва,2020-10-23,1344.0
39,Санкт-Петербург,2020-10-24,1454.4
40,Санкт-Петербург,2020-10-25,2909.81
41,Санкт-Петербург,2020-10-26,1454.4
42,Москва,2020-10-27,1440.0
43,Санкт-Петербург,2020-10-27,2163.37
44,Санкт-Петербург,2020-10-28,1454.4
45,Санкт-Петербург,2020-10-29,1454.4
46,Санкт-Петербург,2020-10-31,1291.79
47,Москва,2020-11-02,2510.0
48,Москва,2020-11-03,1440.0
49,Москва,2020-11-04,1440.0
50,Санкт-Петербург,2020-11-04,1454.4
51,Москва,2020-11-05,1343.0
52,Санкт-Петербург,2020-11-05,1454.4
53,Санкт-Петербург,2020-11-08,2908.8
54,Санкт-Петербург,2020-11-09,2908.8
55,Москва,2020-11-10,1159.0
56,Санкт-Петербург,2020-11-10,1189.78
57,Москва,2020-11-11,1442.0
58,Санкт-Петербург,2020-11-11,1456.42
59,Москва,2020-11-12,1430.0
60,Санкт-Петербург,2020-11-12,1454.4
61,Москва,2020-11-13,1440.0
62,Санкт-Петербург,2020-11-13,1332.19
63,Москва,2020-11-14,1448.0
64,Санкт-Петербург,2020-11-14,1454.4
65,Москва,2020-11-15,5768.0
66,Санкт-Петербург,2020-11-15,1458.44
67,Москва,2020-11-16,4324.0
68,Москва,2020-11-17,2880.0
69,Москва,2020-11-18,4323.0
70,Санкт-Петербург,2020-11-18,1104.4
71,Москва,2020-11-19,5626.0
72,Санкт-Петербург,2020-11-19,2901.73
73,Москва,2020-11-20,1549.0
74,Москва,2020-11-21,1440.0
75,Санкт-Петербург,2020-11-21,1454.4
76,Тольятти,2020-11-21,1209.6
77,Москва,2020-11-22,1440.0
78,Санкт-Петербург,2020-11-22,2908.8
79,Тольятти,2020-11-22,1209.6
80,Москва,2020-11-23,1470.0
81,Тольятти,2020-11-23,1210.44
82,Санкт-Петербург,2020-11-24,1457.43
83,Тольятти,2020-11-24,344.4
84,Санкт-Петербург,2020-11-25,1448.34
85,Санкт-Петербург,2020-11-26,2911.83
86,Тольятти,2020-11-26,1209.6
87,Санкт-Петербург,2020-11-27,1104.4
