,title_ru,t_date,sum_amount
0,Москва,2020-01-27,644.0
1,Москва,2020-01-29,14.0
2,Москва,2020-02-12,3.0
3,Москва,2020-02-13,7.0
4,Москва,2020-02-14,7.4
5,Москва,2020-02-15,7.0
6,Москва,2020-02-16,3.0
7,Москва,2020-02-17,6.0
8,Москва,2020-02-18,3.0
9,Москва,2020-02-19,10.6
10,Москва,2020-02-20,5.0
11,Москва,2020-02-21,5.0
12,Москва,2020-02-22,6.8
13,Москва,2020-02-24,1600.0
14,Москва,2020-03-02,126.0
15,Москва,2020-03-03,2365.0
16,Москва,2020-03-04,1450.0
17,Москва,2020-03-05,1649.0
18,Москва,2020-03-06,1450.0
19,Москва,2020-03-07,1450.0
20,Москва,2020-03-08,1450.0
21,Москва,2020-03-11,3815.0
22,Москва,2020-03-12,3410.0
23,Москва,2020-03-13,2900.0
24,Москва,2020-03-14,3497.0
25,Москва,2020-03-15,1450.0
26,Москва,2020-03-16,2957.0
27,Москва,2020-03-17,2900.0
28,Москва,2020-03-18,2900.0
29,Москва,2020-03-19,2900.0
30,Москва,2020-03-20,2972.0
31,Москва,2020-03-21,1450.0
32,Москва,2020-03-22,1450.0
33,Москва,2020-03-23,1499.0
34,Москва,2020-03-24,1471.0
35,Москва,2020-03-25,1450.0
36,Москва,2020-03-26,1450.0
37,Москва,2020-03-27,1450.0
38,Москва,2020-03-28,1450.0
39,Москва,2020-03-29,1464.0
40,Москва,2020-03-30,1450.0
41,Москва,2020-04-01,1307.0
42,Москва,2020-04-02,1050.0
43,Москва,2020-04-03,1457.0
44,Москва,2020-04-04,853.0
45,Москва,2020-04-05,1450.0
46,Москва,2020-04-06,1450.0
47,Москва,2020-05-14,10.0
48,Москва,2020-06-15,1765.0
49,Санкт-Петербург,2020-06-15,9.0
50,Санкт-Петербург,2020-06-16,1200.0
51,Москва,2020-06-16,45.0
52,Санкт-Петербург,2020-06-17,1356.0
53,Москва,2020-06-17,1720.0
54,Санкт-Петербург,2020-06-18,1200.0
55,Москва,2020-06-18,3530.0
56,Санкт-Петербург,2020-06-19,1200.0
57,Москва,2020-06-19,3530.0
58,Санкт-Петербург,2020-06-20,1200.0
59,Москва,2020-06-20,3649.0
60,Санкт-Петербург,2020-06-21,1200.0
61,Москва,2020-06-21,3530.0
62,Санкт-Петербург,2020-06-22,1200.0
63,Москва,2020-06-22,4209.0
64,Санкт-Петербург,2020-06-23,1200.0
65,Москва,2020-06-23,3530.0
66,Санкт-Петербург,2020-06-24,1200.0
67,Москва,2020-06-24,3578.0
68,Санкт-Петербург,2020-06-25,1200.0
69,Москва,2020-06-25,1765.0
70,Санкт-Петербург,2020-06-26,1200.0
71,Москва,2020-06-26,1786.0
72,Москва,2020-06-27,1765.0
73,Санкт-Петербург,2020-06-27,1200.0
74,Санкт-Петербург,2020-06-28,1200.0
75,Москва,2020-06-28,1765.0
76,Москва,2020-06-29,1765.0
77,Санкт-Петербург,2020-06-29,1200.0
78,Санкт-Петербург,2020-06-30,1200.0
79,Москва,2020-06-30,1807.0
80,Москва,2020-07-01,2118.0
81,Санкт-Петербург,2020-07-01,2759.0
82,Москва,2020-07-02,3530.0
83,Санкт-Петербург,2020-07-02,1200.0
84,Москва,2020-07-03,5295.0
85,Санкт-Петербург,2020-07-03,1200.0
86,Москва,2020-07-04,5295.0
87,Санкт-Петербург,2020-07-04,1200.0
88,Санкт-Петербург,2020-07-05,1200.0
89,Москва,2020-07-05,3532.0
90,Санкт-Петербург,2020-07-06,2400.0
91,Москва,2020-07-06,3530.0
92,Санкт-Петербург,2020-07-07,3600.0
93,Москва,2020-07-07,7060.0
94,Санкт-Петербург,2020-07-08,3679.0
95,Москва,2020-07-08,5295.0
96,Санкт-Петербург,2020-07-09,3610.0
97,Москва,2020-07-09,5311.0
98,Москва,2020-07-10,2017.0
99,Санкт-Петербург,2020-07-10,2240.0
100,Москва,2020-07-12,3562.35
101,Санкт-Петербург,2020-07-13,9596.2
102,Москва,2020-07-13,21169.84
103,Санкт-Петербург,2020-07-14,1469.0
104,Москва,2020-07-14,9.3
105,Санкт-Петербург,2020-07-15,4497.82
106,Москва,2020-07-15,26577.85
107,Санкт-Петербург,2020-07-16,1470.84
108,Москва,2020-07-16,6.6
109,Санкт-Петербург,2020-07-17,5876.02
110,Москва,2020-07-17,13267.55
111,Санкт-Петербург,2020-07-18,4409.46
112,Москва,2020-07-18,8256.54
113,Санкт-Петербург,2020-07-19,5364.18
114,Москва,2020-07-19,11547.89
115,Санкт-Петербург,2020-07-20,2998.8
116,Москва,2020-07-20,15385.56
117,Москва,2020-07-21,18235.02
118,Санкт-Петербург,2020-07-21,4417.62
119,Санкт-Петербург,2020-07-22,4414.56
120,Москва,2020-07-22,13733.39
121,Санкт-Петербург,2020-07-23,8580.64
122,Москва,2020-07-23,17448.82
123,Москва,2020-07-24,17336.45
124,Санкт-Петербург,2020-07-24,1494.1
125,Москва,2020-07-25,24391.53
126,Санкт-Петербург,2020-07-25,5891.32
127,Санкт-Петербург,2020-07-26,5877.24
128,Москва,2020-07-26,19998.34
129,Москва,2020-07-27,22441.25
130,Санкт-Петербург,2020-07-27,5887.44
131,Москва,2020-07-28,3846.65
132,Санкт-Петербург,2020-07-28,5318.7
133,Санкт-Петербург,2020-07-29,5727.5
134,Москва,2020-07-29,10557.3
135,Москва,2020-07-30,51712.06
136,Санкт-Петербург,2020-07-30,20760.27
137,Москва,2020-07-31,54355.24
138,Санкт-Петербург,2020-07-31,2962.55
139,Санкт-Петербург,2020-08-01,10189.93
140,Москва,2020-08-01,28116.22
141,Москва,2020-08-02,30212.45
142,Санкт-Петербург,2020-08-02,9745.11
143,Санкт-Петербург,2020-08-03,10506.13
144,Москва,2020-08-03,32450.38
145,Москва,2020-08-04,38107.76
146,Санкт-Петербург,2020-08-04,8827.86
147,Санкт-Петербург,2020-08-05,11510.38
148,Москва,2020-08-05,43819.37
149,Санкт-Петербург,2020-08-06,17864.73
150,Москва,2020-08-06,30607.8
151,Санкт-Петербург,2020-08-07,16920.14
152,Москва,2020-08-07,27110.86
153,Санкт-Петербург,2020-08-08,11760.34
154,Москва,2020-08-08,27113.85
155,Санкт-Петербург,2020-08-09,14082.78
156,Москва,2020-08-09,27100.37
157,Москва,2020-08-10,42002.77
158,Санкт-Петербург,2020-08-10,12627.5
159,Санкт-Петербург,2020-08-11,18187.04
160,Москва,2020-08-11,28523.31
161,Москва,2020-08-12,24815.39
162,Санкт-Петербург,2020-08-12,35104.69
