,city,created_at_format,total_debt_total
0,Москва,2020-07-18,2376.0
1,Москва,2020-07-19,1468.8
2,Москва,2020-07-20,1472.88
3,Санкт-Петербург,2020-07-20,2946.78
4,Москва,2020-07-21,1468.8
5,Москва,2020-07-22,4766.85
6,Москва,2020-07-23,3849.55
7,Москва,2020-07-24,10072.59
8,Санкт-Петербург,2020-07-24,1471.86
9,Москва,2020-07-25,11727.08
10,Москва,2020-07-26,11543.04
11,Москва,2020-07-27,10625.31
12,Москва,2020-07-29,2931.48
13,Москва,2020-07-31,15031.54
14,Москва,2020-08-01,5406.1
15,Москва,2020-08-02,6787.11
16,Москва,2020-08-03,7189.98
17,Москва,2020-08-04,5878.26
18,Москва,2020-08-05,2579.58
19,Москва,2020-08-06,5300.85
20,Москва,2020-08-07,2925.22
21,Москва,2020-08-08,5839.07
22,Санкт-Петербург,2020-08-08,2931.02
23,Москва,2020-08-09,4388.81
24,Санкт-Петербург,2020-08-09,5822.65
25,Москва,2020-08-10,2944.74
26,Санкт-Петербург,2020-08-10,7277.05
27,Москва,2020-08-11,2939.64
28,Санкт-Петербург,2020-08-11,4363.2
29,Москва,2020-08-12,8232.54
30,Санкт-Петербург,2020-08-12,2909.81
31,Москва,2020-08-13,8225.56
32,Москва,2020-08-14,4366.23
33,Москва,2020-08-15,1870.12
34,Москва,2020-08-16,9092.48
35,Москва,2020-08-17,4667.83
36,Санкт-Петербург,2020-08-18,1457.43
37,Москва,2020-08-19,1468.8
38,Санкт-Петербург,2020-08-19,1462.48
39,Москва,2020-08-20,2854.0
40,Москва,2020-08-23,1440.0
41,Санкт-Петербург,2020-08-24,2934.31
42,Москва,2020-08-25,1443.0
43,Москва,2020-08-26,1484.0
44,Санкт-Петербург,2020-08-26,1458.44
45,Москва,2020-08-27,3816.0
46,Москва,2020-08-28,3816.0
47,Москва,2020-08-29,1441.0
48,Санкт-Петербург,2020-08-29,1454.4
49,Москва,2020-08-30,2371.44
50,Санкт-Петербург,2020-08-30,1459.45
51,Москва,2020-08-31,3204.8
52,Санкт-Петербург,2020-08-31,1454.4
53,Москва,2020-09-01,5860.4
54,Санкт-Петербург,2020-09-01,1459.45
55,Москва,2020-09-02,1440.0
56,Санкт-Петербург,2020-09-02,1454.4
57,Санкт-Петербург,2020-09-03,2915.22
58,Москва,2020-09-04,1440.0
59,Москва,2020-09-05,2358.2
60,Санкт-Петербург,2020-09-05,1458.44
61,Москва,2020-09-06,4311.0
