,reg_t_title_ru,use_of_the_mobile_app,COUNT(DISTINCT users_transactions_car_id)
0,Москва,2020-01-28,1
1,Москва,2020-01-29,1
2,Москва,2020-02-14,1
3,Москва,2020-02-15,1
4,Москва,2020-02-19,1
5,Москва,2020-02-22,1
6,Москва,2020-03-05,1
7,Москва,2020-03-12,1
8,Москва,2020-03-14,2
9,Москва,2020-03-16,1
10,Москва,2020-03-20,1
11,Москва,2020-03-23,1
12,Москва,2020-03-24,1
13,Москва,2020-03-29,1
14,Москва,2020-04-03,1
15,Москва,2020-06-20,1
16,Москва,2020-06-22,1
17,Москва,2020-06-24,1
18,Москва,2020-06-26,2
19,Москва,2020-06-30,1
20,Москва,2020-07-07,1
21,Москва,2020-07-09,2
22,Москва,2020-07-10,3
23,Москва,2020-07-12,1
24,Москва,2020-07-13,5
25,Москва,2020-07-14,2
26,Москва,2020-07-15,6
27,Москва,2020-07-16,1
28,Москва,2020-07-17,8
29,Москва,2020-07-18,7
30,Москва,2020-07-19,8
31,Москва,2020-07-20,9
32,Москва,2020-07-21,11
33,Москва,2020-07-22,10
34,Москва,2020-07-23,15
35,Москва,2020-07-24,14
36,Москва,2020-07-25,19
37,Москва,2020-07-26,18
38,Москва,2020-07-27,19
39,Москва,2020-07-28,2
40,Москва,2020-07-29,2
41,Москва,2020-07-30,9
42,Москва,2020-07-31,16
43,Москва,2020-08-01,21
44,Москва,2020-08-02,23
45,Москва,2020-08-03,24
46,Москва,2020-08-04,23
47,Москва,2020-08-05,23
48,Москва,2020-08-06,19
49,Москва,2020-08-07,19
50,Москва,2020-08-08,20
51,Москва,2020-08-09,20
52,Москва,2020-08-10,22
53,Москва,2020-08-11,21
54,Москва,2020-08-12,23
55,Москва,2020-08-13,25
56,Москва,2020-08-14,29
57,Москва,2020-08-15,22
58,Москва,2020-08-16,24
59,Москва,2020-08-17,27
60,Москва,2020-08-18,23
61,Москва,2020-08-19,22
62,Москва,2020-08-20,30
63,Москва,2020-08-21,28
64,Москва,2020-08-22,29
65,Москва,2020-08-23,29
66,Москва,2020-08-24,32
67,Москва,2020-08-25,25
68,Москва,2020-08-26,26
69,Москва,2020-08-27,26
70,Москва,2020-08-28,29
71,Москва,2020-08-29,25
72,Москва,2020-08-30,29
73,Москва,2020-08-31,32
74,Москва,2020-09-01,31
75,Москва,2020-09-02,27
76,Москва,2020-09-03,32
77,Москва,2020-09-04,33
78,Москва,2020-09-05,34
79,Москва,2020-09-06,38
80,Москва,2020-09-07,45
81,Москва,2020-09-08,40
82,Москва,2020-09-09,47
83,Москва,2020-09-10,44
84,Москва,2020-09-11,54
85,Москва,2020-09-12,52
86,Москва,2020-09-13,58
87,Москва,2020-09-14,58
88,Москва,2020-09-15,54
89,Москва,2020-09-16,58
90,Москва,2020-09-17,62
91,Москва,2020-09-18,60
92,Москва,2020-09-19,58
93,Москва,2020-09-20,58
94,Москва,2020-09-21,62
95,Москва,2020-09-22,56
96,Москва,2020-09-23,55
97,Москва,2020-09-24,60
98,Москва,2020-09-25,64
99,Москва,2020-09-26,62
100,Москва,2020-09-27,68
101,Москва,2020-09-28,73
102,Москва,2020-09-29,65
103,Москва,2020-09-30,64
104,Москва,2020-10-01,72
105,Москва,2020-10-02,68
106,Москва,2020-10-03,66
107,Москва,2020-10-04,72
108,Москва,2020-10-05,75
109,Москва,2020-10-06,73
110,Москва,2020-10-07,73
111,Москва,2020-10-08,74
112,Москва,2020-10-09,72
113,Москва,2020-10-10,71
114,Москва,2020-10-11,75
115,Москва,2020-10-12,77
116,Москва,2020-10-13,70
117,Москва,2020-10-14,71
118,Москва,2020-10-15,77
119,Москва,2020-10-16,72
120,Москва,2020-10-17,72
121,Москва,2020-10-18,75
122,Москва,2020-10-19,80
123,Москва,2020-10-20,70
124,Москва,2020-10-21,67
125,Москва,2020-10-22,71
126,Москва,2020-10-23,76
127,Москва,2020-10-24,76
128,Москва,2020-10-25,78
129,Москва,2020-10-26,82
130,Москва,2020-10-27,80
131,Москва,2020-10-28,82
132,Москва,2020-10-29,83
133,Москва,2020-10-30,74
134,Москва,2020-10-31,77
135,Москва,2020-11-01,80
136,Москва,2020-11-02,85
137,Москва,2020-11-03,72
138,Москва,2020-11-04,71
139,Москва,2020-11-05,80
140,Москва,2020-11-06,71
141,Москва,2020-11-07,67
142,Москва,2020-11-08,73
143,Москва,2020-11-09,83
144,Москва,2020-11-10,76
145,Москва,2020-11-11,76
146,Москва,2020-11-12,86
147,Москва,2020-11-13,85
148,Москва,2020-11-14,76
149,Москва,2020-11-15,78
150,Москва,2020-11-16,82
151,Москва,2020-11-17,74
152,Москва,2020-11-18,63
153,Москва,2020-11-19,76
154,Москва,2020-11-20,77
155,Москва,2020-11-21,75
156,Москва,2020-11-22,78
157,Москва,2020-11-23,80
158,Москва,2020-11-24,66
159,Москва,2020-11-25,78
160,Москва,2020-11-26,80
161,Москва,2020-11-27,81
162,Москва,2020-11-28,77
163,Москва,2020-11-29,82
164,Москва,2020-11-30,86
165,Москва,2020-12-01,80
166,Москва,2020-12-02,79
167,Москва,2020-12-03,81
168,Москва,2020-12-04,78
169,Москва,2020-12-05,76
170,Москва,2020-12-06,79
171,Москва,2020-12-07,81
172,Москва,2020-12-08,73
173,Москва,2020-12-09,70
174,Москва,2020-12-10,79
175,Москва,2020-12-11,80
176,Москва,2020-12-12,77
177,Москва,2020-12-13,84
178,Москва,2020-12-14,84
179,Москва,2020-12-15,81
180,Москва,2020-12-16,77
181,Москва,2020-12-17,78
182,Москва,2020-12-18,85
183,Москва,2020-12-19,73
184,Москва,2020-12-20,86
185,Москва,2020-12-21,87
